0,Published,Link,Title,Snippet
43,2020-08-01T04:16:30Z,https://timesofindia.indiatimes.com/city/jaipur/mlas-reach-jaisalmer-in-special-fights/articleshow/77293516.cms,MLAs reach Jaisalmer in special fights,
44,2020-08-01T04:13:21Z,https://timesofindia.indiatimes.com/city/bhopal/after-netas-test-corona-ve-bjp-head-office-sealed/articleshow/77291221.cms,BJP headquarters in Bhopal sealed,The BJP state headquarters was closed here on Friday after three leaders and a staff driver were tested Covid positive during last week. The head office wore a deserted look as the district administration declared it a containment zone and appointed security staff to check entry.
45,2020-08-01T04:13:09Z,https://timesofindia.indiatimes.com/city/jaipur/bjp-fires-salvo-at-gehlot-over-shifting-of-mlas/articleshow/77293496.cms,BJP fires salvo at Ashok Gehlot over shifting of MLAS,
46,2020-08-01T03:38:58Z,https://timesofindia.indiatimes.com/city/delhi/5-5l-cases-comment-spread-panic-says-bjp/articleshow/77293227.cms,"Covid: Manish Sisodia's 5.5 lakh cases comment spread panic, says BJP",
0,2020-08-01T04:13:21Z,https://timesofindia.indiatimes.com/city/bhopal/after-netas-test-corona-ve-bjp-head-office-sealed/articleshow/77291221.cms,BJP headquarters in Bhopal sealed,The BJP state headquarters was closed here on Friday after three leaders and a staff driver were tested Covid positive during last week. The head office wore a deserted look as the district administration declared it a containment zone and appointed security staff to check entry.
1,2020-08-01T04:13:09Z,https://timesofindia.indiatimes.com/city/jaipur/bjp-fires-salvo-at-gehlot-over-shifting-of-mlas/articleshow/77293496.cms,BJP fires salvo at Ashok Gehlot over shifting of MLAS,
2,2020-08-01T03:38:58Z,https://timesofindia.indiatimes.com/city/delhi/5-5l-cases-comment-spread-panic-says-bjp/articleshow/77293227.cms,"Covid: Manish Sisodia's 5.5 lakh cases comment spread panic, says BJP",
3,2020-08-01T03:29:13Z,https://timesofindia.indiatimes.com/city/jaipur/poaching-fears-cm-shifts-mlas-to-jaisalmer-bjp-takes-a-swipe/articleshow/77293358.cms,"Poaching fears: CM shifts MLAs to Jaisalmer, BJP takes a swipe",
4,2020-08-01T00:30:00Z,https://timesofindia.indiatimes.com/city/kolkata/bjp-worker-found-hanging-police-stops-teams-visit/articleshow/77294087.cms,"BJP worker found hanging, police stops team’s visit",
5,2020-08-01T00:30:00Z,https://timesofindia.indiatimes.com/city/kolkata/dakshin-dinajpur-leader-returns-to-tmc-from-bjp/articleshow/77294028.cms,Dakshin Dinajpur leader returns to TMC from BJP,
6,2020-07-31T23:30:00Z,https://timesofindia.indiatimes.com/city/ranchi/fir-against-former-bjp-mla-for-stealing-soil-for-bhoomi-pujan-in-ayodhya/articleshow/77292998.cms,FIR against former BJP MLA for ‘stealing’ soil for bhoomi pujan in Ayodhya,
7,2020-07-31T23:27:26Z,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/sushant-singh-rajput-case-bjp-ljp-demand-cbi-investigation/articleshow/77295012.cms,"Sushant Singh Rajput case: BJP, LJP demand CBI investigation",
8,2020-07-31T23:20:00Z,https://timesofindia.indiatimes.com/city/lucknow/maya-is-bjps-b-team-aap/articleshow/77294089.cms,Maya is BJP’s B team: AAP,
9,2020-07-31T23:06:00Z,https://timesofindia.indiatimes.com/city/coimbatore/bjp-man-held-for-fb-post-on-periyar/articleshow/77292636.cms,BJP man held for FB post on Periyar,
10,2020-07-31T23:00:00Z,https://timesofindia.indiatimes.com/city/bengaluru/bsys-son-appointed-state-bjp-vice-president/articleshow/77290707.cms,BSY’s son appointed state BJP vice-president,
11,2020-07-31T22:54:16Z,https://timesofindia.indiatimes.com/india/congress-welcomes-temple-construction/articleshow/77294847.cms,Congress welcomes temple construction,"Congress spokesman Jaiveer Shergill said, “Indian National Congress whole-heartedly welcomed and welcomes the judgment of the Supreme Court paving the path for construction of the Ram mandir.” Senior Congress member Kamal Nath has also welcomed the construction of the temple."
12,2020-07-31T22:43:00Z,https://timesofindia.indiatimes.com/city/agra/postpone-amu-exam-classes-on-august-5-for-ram-mandir-bjp-mlas-grandson/articleshow/77290657.cms,"Postpone AMU exam, classes on August 5 for Ram Mandir: BJP MLA’s grandson",
13,2020-07-31T19:45:47Z,https://timesofindia.indiatimes.com/city/bhopal/bhopal-madhya-pradesh-bjp-head-office-closed-staff-to-be-tested-for-covid-19/articleshow/77293467.cms,"Bhopal: Madhya Pradesh BJP head office closed, staff to be tested for Covid-19",The BJP state headquarters was closed here on Friday after three leaders and a staff driver were tested Covid positive during last week.
