0,Published,Link,Title,Snippet
10,"India News | Press Trust of India | Wednesday July 29, 2020",https://www.ndtv.com/india-news/new-education-policy-caters-to-needs-of-a-new-india-says-bjp-chief-jp-nadda-2270976,"New Education Policy Caters To Needs Of A ''New India'', Says BJP Chief JP Nadda","The new National Education Policy, approved by the Union Cabinet on Wednesday, brings the much-awaited reforms and regulatory framework which cater to the needs of a ""New India"" and unleash the youth's energy for a ""self-reliant, better India"", BJP president J P Nadda said."
11,"India News | Press Trust of India | Wednesday July 29, 2020",https://www.ndtv.com/india-news/delhi-high-court-directs-facebook-google-to-remove-offending-posts-on-bjp-leader-sasikala-pushpa-2270958,"Court Directs Facebook, Google To Remove Offending Posts On BJP Leader",The Delhi High Court Wednesday directed Facebook and Google to remove alleged derogatory material related to BJP leader Sasikala Pushpa who claimed that her image was being tarnished by purported morphed photos and videos with a man on social media.
12,"India News | Press Trust of India | Wednesday July 29, 2020",https://www.ndtv.com/india-news/maharashtra-ministers-whatsapp-university-jibe-at-bjps-new-online-campaign-plan-2270936,"Maharashtra Minister's ""WhatsApp University"" Jibe At BJP's New Online Campaign Plan","Amid reports about Maharashtra BJP's plan to launch a campaign to connect with the state's voters through WhatsApp, state Home Minister Anil Deshmukh on Wednesday hoped it will not turn into a ""WhatsApp university""."
13,"Bhopal News | Press Trust of India | Wednesday July 29, 2020",https://www.ndtv.com/bhopal-news/make-madhya-pradesh-home-minister-follow-covid-rules-earn-rs-11-000-congress-2270931,"Make Madhya Pradesh Home Minister Follow COVID Rules, Earn Rs 11,000: Congress","Madhya Pradesh Congress has accused state Home Minister Narottam Mishra of defying social distancing rules and meeting people during the pandemic and has announced a reward of Rs 11,000 for any BJP leader who can get the minister to follow the coronavirus guidelines."
14,"India News | Written by Ratnadip Choudhury | Wednesday July 29, 2020",https://www.ndtv.com/india-news/manipur-activist-erendro-leichombam-charged-with-sedition-for-social-media-post-on-bjp-mp-sanajaoba-leishemba-2270485,Manipur Activist Charged With Sedition After Facebook Post On BJP MP,"Manipur activist Erendro Leichombam was charged by the state police on Tuesday with sedition for a social media post that had a picture of the newly elected Rajya Sabha MP - Sanajaoba Leishemba. The titular king of Manipur and a BJP leader, Sanajaoba Leishemba is seen in the photo bowing down with his hands folded in front of Union Home Minister Am..."
0,"India News | Press Trust of India | Tuesday July 28, 2020",https://www.ndtv.com/india-news/madhya-pradesh-bypolls-congress-launches-masks-that-taunt-turncoats-2270387,Madhya Pradesh Bypolls: Congress Launches Masks That Taunt Turncoats,"Amid the coronavirus outbreak, the Madhya Pradesh Congress has brought out masks that taunt turncoat legislators who switched to the BJP recently as part of its bypoll campaign material."
1,"India News | Written by Ratnadip Choudhary | Tuesday July 28, 2020",https://www.ndtv.com/india-news/manipur-congress-files-no-confidence-motion-against-n-biren-singh-government-2270373,Manipur Congress Files No-Confidence Motion Against N Biren Singh Government,Manipur Congress today filed a motion of no-confidence against the ruling BJP government in the state helmed by N Biren Singh. Senior Congress MLAs K Meghachandra and Th Lokeshwar submitted the notice of the motion to Speaker Y Khemchand Singh at the Assembly.
2,"India News | Press Trust of India | Tuesday July 28, 2020",https://www.ndtv.com/india-news/coronavirus-assam-assemblys-deputy-speaker-aminul-haque-laskar-tests-positive-for-covid-19-2270352,Assam Assembly's Deputy Speaker Tests Positive For Coronavirus,"Assam Assembly's Deputy Speaker Aminul Haque Laskar tested positive for COVID-19 on Tuesday, the sixth MLA from the ruling BJP to get infected by the coronavirus in the state."
3,"India News | Press Trust of India | Tuesday July 28, 2020",https://www.ndtv.com/india-news/even-if-shiv-sena-bjp-come-together-wont-contest-jointly-maharashtra-bjp-chief-chandrakant-patil-2270197,"''Even If Sena, BJP Come Together, Won't Contest Jointly'': Maharashtra BJP Chief",BJP's Maharashtra Unit chief Chandrakant Patil on Tuesday said that his party won't contest elections along with Shiv Sena in future even if the two parties form an alliance.
4,"India News | Press Trust of India | Tuesday July 28, 2020",https://www.ndtv.com/india-news/devendra-fadnavis-misleading-people-over-maratha-quota-issue-ashok-chavan-2270193,Devendra Fadnavis Misleading People Over Maratha Quota Issue: Ashok Chavan,"Maharashtra minister Ashok Chavan on Tuesday accused former chief minister and BJP leader Devendra Fadnavis of misleading people over the Maratha quota issue, which is being heard by the Supreme Court."
5,"India News | Press Trust of India | Tuesday July 28, 2020",https://www.ndtv.com/india-news/jds-leader-hd-kumaraswamy-says-congress-is-another-name-for-horse-trading-2270182,"""Congress Is Another Name For Horse Trading,"" Says HD Kumaraswamy","""Congress is another name for horse trading"" said JD(S) leader HD Kumaraswamy on Tuesday as he slammed the party's erstwhile state ally for its nationwide ""Save Democracy"" campaign against the BJP, accusing it of trying to topple democratically elected governments."
6,"India News | Press Trust of India | Tuesday July 28, 2020",https://www.ndtv.com/india-news/jharkhand-has-become-byword-for-lawlessness-says-bjp-leader-jp-nadda-2270135,"Jharkhand Has Become Byword For Lawlessness, Says JP Nadda","Attacking the JMM-Congress government in Jharkhand, BJP president JP Nadda has said the state has become a byword for ""lawlessness"" under its rule, with Maoists rife and corruption becoming an ""industry""."
7,"India News | Press Trust of India | Tuesday July 28, 2020",https://www.ndtv.com/india-news/bjp-mla-files-new-plea-challenging-rajasthan-speakers-decision-on-bsp-mlas-joining-congress-2270048,New Plea Challenges Rajasthan Speaker's Decision On BSP MLAs Joining Congress,BJP MLA Madan Dilawar today filed a fresh writ petition in the Rajasthan High Court challenging the decision of the state assembly speaker to reject his complaint over six former BSP MLAs joining the Congress.
8,"India News | NDTV News Desk | Tuesday July 28, 2020",https://www.ndtv.com/india-news/rajasthan-mayawati-says-bsp-was-looking-to-teach-ashok-gehlot-a-lesson-2269972,"""Looking To Teach Ashok Gehlot Lesson"": Mayawati Amid Rajasthan Fight","Rajasthan Chief Minister Ashok Gehlot, who has a thin lead in the assembly after a revolt by his sacked deputy Sachin Pilot, will ""be taught a lesson"", warned Bahujan Samaj Party (BSP) leader Mayawati today, declaring she would go all the way to the Supreme Court to fight six MLAs of her party joining the Congress last year."
9,"India News | ANI | Tuesday July 28, 2020",https://www.ndtv.com/india-news/sitaram-yechury-bjp-centralising-authority-under-cover-of-covid-19-2269824,BJP Centralising Authority Under Cover Of COVID-19: Sitaram Yechury,"CPI-M general secretary Sitaram Yechury on Monday accused the BJP of strengthening the drive for centralisation of all authority and power ""under the cover of a COVID-19 pandemic"" and said it was ""negating the principles of federalism""."
10,"India News | ANI | Tuesday July 28, 2020",https://www.ndtv.com/india-news/somu-veerraju-named-as-andhra-pradesh-bjp-chief-2269823,Somu Veerraju Named As Andhra Pradesh BJP Chief,BJP national president Jagat Prakash Nadda on Monday appointed Somu Veerraju as president of the party's Andhra Pradesh unit.
11,"India News | Reported by Akhilesh Sharma, Edited by Anindita Sanyal | Tuesday July 28, 2020",https://www.ndtv.com/india-news/bjp-mp-anil-baluni-says-no-to-priyanka-gandhis-tea-invite-offers-dinner-2269719,"Can't Do Tea, Come For Dinner: BJP MP's Reply To Priyanka Gandhi Invite","Priyanka Gandhi Vadra's tea invitation to the next occupant of her 35 Lodhi State bungalow has received a negative RSVP. BJP MP Anil Baluni, instead, has invited her and her family to dinner, promising to serve all the traditional dishes of Uttarakhand."
12,"India News | Press Trust of India | Monday July 27, 2020",https://www.ndtv.com/india-news/jayesh-patel-who-led-farmers-protests-against-bullet-train-in-gujarat-joins-bjp-2269665,Man Who Led Farmers' Protests Against Bullet Train In Gujarat Joins BJP,"Gujarat farmer leader Jayesh Patel, who has been at the forefront of protests against the upcoming Bullet Train project, joined the BJP today."
13,"Delhi News | Press Trust of India | Monday July 27, 2020",https://www.ndtv.com/delhi-news/bjp-leaders-protest-against-delhi-government-over-power-bills-detained-2269530,"BJP Leaders Protest Against Delhi Government Over Power Bills, Detained","BJP leaders, including its Delhi unit chief Adesh Gupta and Leader of Opposition in the city Assembly Ramvir Bidhuri, were detained during a protest against the AAP government over the issue of electricity bills in the Civil Lines area in New Delhi on Monday."
14,"India News | Press Trust of India | Monday July 27, 2020",https://www.ndtv.com/india-news/bjp-chief-jp-nadda-tells-party-leaders-expose-maharashtra-governments-failure-2269485,"Expose Maharashtra Government's ""Failure"": JP Nadda Tells BJP Leaders","BJP president JP Nadda has asked the Maharashtra party unit to strengthen its IT cell and expose the Uddhav Thackeray-led state government's ""failure."""
0,"Kerala News | Written by Sneha Mary Koshy | Monday July 27, 2020",https://www.ndtv.com/kerala-news/coronavirus-kerala-bjp-councillor-locals-booked-for-obstructing-cremation-of-covid-ve-man-2269466,"Locals, BJP Councillor Hinder Covid Man's Cremation In Kerala, Case Filed","A day after protests against the cremation of the body of an 83-year-old man who was confirmed positive for the coronavirus after his death in Kerala's Kottayam, the police have registered a case against a BJP councillor and locals for unlawful assembly and violating COVID-19 protocols.They reportedly feared health risk because of the cremation of ..."
1,"India News | Edited by Deepshikha Ghosh | Monday July 27, 2020",https://www.ndtv.com/india-news/in-rajasthan-fight-mayawatis-party-may-ally-with-bjp-in-court-2269465,"In Rajasthan Fight, Mayawati's Party May Ally With BJP In Court","In Rajasthan Chief Minister Ashok Gehlot's struggle to retain his narrow majority after a rebellion by his sacked deputy Sachin Pilot, a new case is in court. Mayawati's Bahujan Samaj Party (BSP), which lost all six Rajasthan MLAs to the Congress last year, has approached the High Court."
2,"India News | Press Trust of India | Monday July 27, 2020",https://www.ndtv.com/india-news/rajasthan-political-crisis-congress-leaders-arrested-by-police-ahead-of-protest-march-in-delhi-2269449,Congress Leaders Detained By Police Ahead Of Protest March In Delhi,"Congress leaders, including its Delhi unit chief Anil Kumar, were detained while trying to march to the Lieutenant Governor's office in Civil Lines in Delhi, in a protest against the Bharatiya Janata Party (BJP) amid the Rajasthan political crisis."
